,Localização,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Jacuzzi,Piscina,Semana_do_ano,Academia,Permitido animais,Preço/Noite
0,0.02946067949631741,1,3,18,4,60.0,0,1,9,0,0,184.0
1,0.04276550249465432,1,4,41,4,30.0,0,1,11,0,0,198.0
2,0.0030886196246139226,2,8,7,10,0.0,0,0,9,0,0,351.0
3,0.01876930387265384,1,2,5,4,60.0,0,0,12,0,1,191.0
4,0.01876930387265384,1,4,3,4,58.0,0,0,8,0,1,124.0
5,0.02066999287241625,1,2,16,4,40.0,0,0,14,0,0,211.0
6,0.015205511998099313,1,2,32,3,40.0,0,0,10,0,0,149.0
7,0.057020669992872426,2,4,15,5,75.0,0,0,11,0,0,250.0
8,0.08885721073889286,1,2,35,4,65.0,0,1,7,0,0,313.0
9,0.057020669992872426,1,3,43,5,49.5,0,0,13,0,1,213.0
10,0.00047517224994060353,3,6,8,10,75.0,0,0,6,0,0,410.0
11,0.02257068187217866,1,3,9,4,0.0,0,0,6,0,0,203.0
12,0.015205511998099313,1,2,3,4,39.5,0,0,4,0,1,233.0
13,0.0035637918745545258,2,3,10,6,59.5,0,1,11,0,0,357.0
14,0.015443098123069612,2,4,27,6,0.0,0,0,11,0,0,257.0
15,0.05203136136849608,1,1,12,2,34.5,0,0,12,0,1,108.0
16,0.01235447849845569,1,3,74,5,34.5,0,0,14,0,0,126.0
17,0.0030886196246139226,4,8,6,15,150.0,0,1,7,0,0,592.0
18,0.06319790924210028,1,4,56,6,75.0,0,0,12,0,0,134.0
19,0.04276550249465432,2,5,22,6,0.0,0,1,12,0,0,323.0
20,0.026847232121644096,1,2,18,4,54.5,0,0,9,0,0,128.0
21,0.05203136136849608,1,3,11,5,64.5,0,0,8,0,1,232.0
22,0.08885721073889286,1,4,18,5,70.0,0,1,7,1,0,278.0
23,0.057020669992872426,2,4,15,5,75.0,0,0,8,0,0,250.0
24,0.06319790924210028,2,4,13,5,75.0,0,0,4,0,0,559.0
25,0.057020669992872426,1,1,3,4,65.0,0,0,4,0,0,337.0
26,0.01235447849845569,1,2,8,4,60.0,0,0,12,0,0,111.0
27,0.08885721073889286,2,2,137,4,45.0,0,1,14,0,0,164.0
28,0.012116892373485387,2,4,115,7,82.0,0,1,11,0,0,340.0
29,0.010453789498693276,1,2,39,2,75.0,0,1,7,0,0,158.0
30,0.08885721073889286,1,2,35,4,65.0,0,0,7,0,0,329.0
31,0.02946067949631741,1,3,18,4,60.0,0,1,8,0,0,184.0
32,0.0076027559990496565,1,1,90,4,0.0,0,1,6,0,0,331.0
33,0.03183654074602043,3,7,25,6,60.0,0,0,11,0,0,254.0
