,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
550,39499342,2021-03-05,2021-03-07,Praia Grande,4,1,3,1,5.0,18,184.0,488.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
682,40945881,2021-03-19,2021-03-21,Guarujá,4,1,4,1,4.83,41,198.0,456.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
5224,46875225,2021-03-05,2021-03-07,Casa inteira em Parque Balneario Oasis,10,3,8,2,4.43,7,351.0,702.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1172,46743206,2021-03-26,2021-03-28,Vila Tupi,4,1,2,1,4.4,5,191.0,502.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3857,46866361,2021-02-26,2021-02-28,Vila Tupi,4,1,4,1,5.0,3,124.0,364.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
2244,45479011,2021-04-09,2021-04-11,Ilha Porchat,4,1,2,1,5.0,16,211.0,502.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
4082,33166995,2021-03-12,2021-03-14,Embaré,3,1,2,1,4.88,32,149.0,297.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2182,39831271,2021-03-19,2021-03-21,Gonzaga,5,2,4,2,5.0,15,250.0,650.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,True
4470,31436143,2021-02-19,2021-02-21,Santos,4,1,2,1,4.89,35,313.0,756.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2663,33686494,2021-04-02,2021-04-04,Gonzaga,5,2,3,1,4.79,43,213.0,525.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,True
12,45225100,2021-02-12,2021-02-14,Vila Maia,10,3,6,3,5.0,8,410.0,970.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1775,46642654,2021-02-12,2021-02-14,Nova Mirim,4,1,3,1,4.89,9,203.0,406.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3041,46311254,2021-01-29,2021-01-31,Embaré,4,1,2,1,5.0,3,233.0,545.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,False
4080,45991304,2021-03-19,2021-03-21,Vila Clais,6,2,3,2,5.0,10,357.0,833.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1568,31985859,2021-03-19,2021-03-21,Aviação,6,1,4,2,4.89,27,257.0,514.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3967,44860968,2021-03-26,2021-03-28,Centro,2,1,1,1,5.0,12,108.0,285.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,False
2436,42018906,2021-04-09,2021-04-11,Ponta da Praia,5,1,3,1,4.92,74,126.0,251.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
5000,43956103,2021-02-19,2021-02-21,Casa inteira em Parque Balneario Oasis,15,3,8,4,4.67,6,592.0,1484.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1564,22577411,2021-03-26,2021-03-28,José Menino,6,1,4,1,4.95,56,134.0,418.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
902,40133804,2021-03-26,2021-03-28,Guarujá,6,2,5,2,4.73,22,323.0,646.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1989,40067438,2021-03-05,2021-03-07,Boqueirão,4,1,2,1,4.94,18,128.0,365.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,False
425,46110784,2021-02-26,2021-02-28,Centro,5,1,3,1,4.36,11,232.0,593.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1879,32473078,2021-02-19,2021-02-21,Santos,5,1,4,1,4.83,18,278.0,696.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False
1644,39831271,2021-02-26,2021-02-28,Gonzaga,5,2,4,2,5.0,15,250.0,650.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,True
3080,44376685,2021-01-29,2021-01-31,José Menino,5,2,4,2,5.0,13,559.0,1268.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
3085,47517305,2021-01-29,2021-01-31,Gonzaga,4,1,1,1,4.67,3,337.0,804.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4270,41493308,2021-03-26,2021-03-28,Ponta da Praia,4,1,2,1,4.63,8,111.0,342.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
2896,1524863,2021-04-09,2021-04-11,Santos,4,1,2,2,4.78,137,164.0,418.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
891,21475047,2021-03-19,2021-03-21,Jardim Las Palmas,7,2,4,2,4.88,115,340.0,844.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4503,30524886,2021-02-19,2021-02-21,Morumbi,2,1,2,1,4.56,39,158.0,466.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1726,31436143,2021-02-19,2021-02-21,Santos,4,1,2,1,4.89,35,329.0,788.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
