,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado,Diária com taxas,Taxa,Vista,Demanda,É_feriado,É outilier,Mes,Dia,Semana_do_ano,Semana de Feriado
0,39499342,2021-03-05,2021-03-07,0.029460679496317414,4,1,3,1,5.0,18,184.0,488.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,244.0,60.0,0,0,0,0,3,5,9,0.0
1,40945881,2021-03-19,2021-03-21,0.042765502494654314,4,1,4,1,4.83,41,198.0,456.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,228.0,30.0,0,0,0,0,3,19,11,0.0
2,46875225,2021-03-05,2021-03-07,0.0030886196246139226,10,3,8,2,4.43,7,351.0,702.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,False,351.0,0.0,0,0,0,0,3,5,9,0.0
3,46743206,2021-03-26,2021-03-28,0.018769303872653836,4,1,2,1,4.4,5,191.0,502.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,False,251.0,60.0,0,0,0,0,3,26,12,0.0
4,46866361,2021-02-26,2021-02-28,0.018769303872653836,4,1,4,1,5.0,3,124.0,364.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,False,182.0,58.0,0,0,0,0,2,26,8,0.0
5,45479011,2021-04-09,2021-04-11,0.020669992872416252,4,1,2,1,5.0,16,211.0,502.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,False,251.0,40.0,0,0,0,0,4,9,14,0.0
6,33166995,2021-03-12,2021-03-14,0.015205511998099311,3,1,2,1,4.88,32,149.0,297.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,148.5,40.0,0,0,0,0,3,12,10,0.0
7,39831271,2021-03-19,2021-03-21,0.05702066999287242,5,2,4,2,5.0,15,250.0,650.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,True,325.0,75.0,0,0,0,0,3,19,11,0.0
8,31436143,2021-02-19,2021-02-21,0.08885721073889286,4,1,2,1,4.89,35,313.0,756.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,378.0,65.0,0,1,0,0,2,19,7,0.0
9,33686494,2021-04-02,2021-04-04,0.05702066999287242,5,2,3,1,4.79,43,213.0,525.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,True,262.5,49.5,0,0,1,0,4,2,13,13.0
10,45225100,2021-02-12,2021-02-14,0.0004751722499406035,10,3,6,3,5.0,8,410.0,970.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,False,485.0,75.0,1,0,0,0,2,12,6,0.0
11,46642654,2021-02-12,2021-02-14,0.022570681872178665,4,1,3,1,4.89,9,203.0,406.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,203.0,0.0,0,0,0,0,2,12,6,0.0
12,46311254,2021-01-29,2021-01-31,0.015205511998099311,4,1,2,1,5.0,3,233.0,545.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,False,272.5,39.5,0,0,0,0,1,29,4,0.0
13,45991304,2021-03-19,2021-03-21,0.003563791874554526,6,2,3,2,5.0,10,357.0,833.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,416.5,59.5,0,0,0,0,3,19,11,0.0
14,31985859,2021-03-19,2021-03-21,0.015443098123069612,6,1,4,2,4.89,27,257.0,514.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,257.0,0.0,0,0,0,0,3,19,11,0.0
15,44860968,2021-03-26,2021-03-28,0.05203136136849608,2,1,1,1,5.0,12,108.0,285.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,False,142.5,34.5,0,0,0,0,3,26,12,0.0
16,42018906,2021-04-09,2021-04-11,0.01235447849845569,5,1,3,1,4.92,74,126.0,251.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,False,125.5,34.5,1,0,0,0,4,9,14,0.0
17,43956103,2021-02-19,2021-02-21,0.0030886196246139226,15,3,8,4,4.67,6,592.0,1484.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False,742.0,150.0,0,0,0,0,2,19,7,0.0
18,22577411,2021-03-26,2021-03-28,0.06319790924210027,6,1,4,1,4.95,56,134.0,418.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,False,209.0,75.0,0,0,0,0,3,26,12,0.0
