,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
0,20193688,2021-02-26,2021-02-28,Jardim Las Palmas,Astúrias Apto aconchegante perto da praia,2,1,1,1,Ar-condicionado,Piscina,Cozinha,Estacionamento gratuito,4.82,46,228.0,456.0,Novo preço mais baixo
1,37237280,2021-02-26,2021-02-28,Pitangueiras,Suíte Guarujá apto Frente Mar 2,7,1,4,1 e meio,Wi-Fi,Cozinha,Permitido animais,Elevador,4.67,21,185.0,369.0,Novo preço mais baixo
2,44419309,2021-02-26,2021-02-28,José Menino,Charmoso apartamento em Santos na quadra da praia,4,1,1,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.84,25,171.0,342.0,Novo preço mais baixo
3,39763299,2021-02-26,2021-02-28,José Menino,"Conforto,frente à praia do José menino/Santos",3,Estúdio,2,1,Cozinha,Permitido animais,Elevador,Vista para o mar,4.65,51,108.0,296.0,Novo preço mais baixo
4,20774709,2021-02-26,2021-02-28,"Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4,1,3,1,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.49,97,188.0,456.0,Novo preço mais baixo
5,45884578,2021-02-26,2021-02-28,Itararé,"Lindo Kit Novíssimo, Pé na Areia no Itararé.",2,Estúdio,4,1,Wi-Fi,Cozinha,Elevador,Vista para as águas,5.0,12,155.0,389.0,Novo preço mais baixo
6,40939239,2021-02-26,2021-02-28,Pitangueiras,Suíte Guarujá apto Frente Mar 3,9,1,2,1 e meio,Wi-Fi,Elevador,Self check-In,Vista para o mar,5.0,15,185.0,369.0,Novo preço mais baixo
7,47586746,2021-02-26,2021-02-28,Vila Auzira,Apartamento Guarujá Asturias,6,1,1,1,Self check-In,Vista para o mar,Máquina de Lavar,Ar-condicionado,5.0,4,203.0,525.0,Novo preço mais baixo
8,21458651,2021-02-26,2021-02-28,Vila Julia,"Apto, 1 quarto, amplo, ar cond, vent , tvs, wi-fi",4,1,3,2,Wi-Fi,Elevador,Self check-In,Ar-condicionado,4.58,31,182.0,514.0,Novo preço mais baixo
9,39675737,2021-02-26,2021-02-28,Jardim Las Palmas,Apartamento sofisticado - Praia das Astúrias,6,Estúdio,4,2,Elevador,Máquina de Lavar,Ar-condicionado,Piscina,4.66,30,252.0,673.0,Novo preço mais baixo
10,43058873,2021-02-26,2021-02-28,Guarujá,"Apto na melhor parte da Enseada,pertinho do mar.",4,2,2,2,Wi-Fi,Elevador,Máquina de Lavar,Ar-condicionado,5.0,16,243.0,685.0,Novo preço mais baixo
11,41143618,2021-02-26,2021-02-28,Mongagua,Apto de 1 dorm frente ao mar com piscina no centro,6,1,3,1,Wi-Fi,Elevador,Vista para o mar,Cozinha,4.89,35,178.0,445.0,Raridade
12,45225100,2021-02-12,2021-02-14,Vila Maia,"Canto do Maluf, frente ao mar com serviço de praia",10,3,6,3,Self check-In,Vista para o mar,Ar-condicionado,Cozinha,5.0,8,410.0,970.0,Novo preço mais baixo
