Date,Ano,Mês,Dia,Nome do Dia,Dia da Semana
2020-01-01 00:00:00,2020,1,1,quarta-feira,3
2020-01-02 00:00:00,2020,1,2,quinta-feira,4
2020-01-03 00:00:00,2020,1,3,sexta-feira,5
2020-01-04 00:00:00,2020,1,4,sábado,6
2020-01-05 00:00:00,2020,1,5,domingo,0
2020-01-06 00:00:00,2020,1,6,segunda-feira,1
2020-01-07 00:00:00,2020,1,7,terça-feira,2
2020-01-08 00:00:00,2020,1,8,quarta-feira,3
2020-01-09 00:00:00,2020,1,9,quinta-feira,4
2020-01-10 00:00:00,2020,1,10,sexta-feira,5
2020-01-11 00:00:00,2020,1,11,sábado,6
2020-01-12 00:00:00,2020,1,12,domingo,0
2020-01-13 00:00:00,2020,1,13,segunda-feira,1
2020-01-14 00:00:00,2020,1,14,terça-feira,2
2020-01-15 00:00:00,2020,1,15,quarta-feira,3
2020-01-16 00:00:00,2020,1,16,quinta-feira,4
2020-01-17 00:00:00,2020,1,17,sexta-feira,5
2020-01-18 00:00:00,2020,1,18,sábado,6
2020-01-19 00:00:00,2020,1,19,domingo,0
2020-01-20 00:00:00,2020,1,20,segunda-feira,1
2020-01-21 00:00:00,2020,1,21,terça-feira,2
2020-01-22 00:00:00,2020,1,22,quarta-feira,3
2020-01-23 00:00:00,2020,1,23,quinta-feira,4
2020-01-24 00:00:00,2020,1,24,sexta-feira,5
2020-01-25 00:00:00,2020,1,25,sábado,6
2020-01-26 00:00:00,2020,1,26,domingo,0
2020-01-27 00:00:00,2020,1,27,segunda-feira,1
2020-01-28 00:00:00,2020,1,28,terça-feira,2
2020-01-29 00:00:00,2020,1,29,quarta-feira,3
2020-01-30 00:00:00,2020,1,30,quinta-feira,4
2020-01-31 00:00:00,2020,1,31,sexta-feira,5
2020-02-01 00:00:00,2020,2,1,sábado,6
2020-02-02 00:00:00,2020,2,2,domingo,0
2020-02-03 00:00:00,2020,2,3,segunda-feira,1
2020-02-04 00:00:00,2020,2,4,terça-feira,2
2020-02-05 00:00:00,2020,2,5,quarta-feira,3
2020-02-06 00:00:00,2020,2,6,quinta-feira,4
2020-02-07 00:00:00,2020,2,7,sexta-feira,5
2020-02-08 00:00:00,2020,2,8,sábado,6
2020-02-09 00:00:00,2020,2,9,domingo,0
2020-02-10 00:00:00,2020,2,10,segunda-feira,1
2020-02-11 00:00:00,2020,2,11,terça-feira,2
2020-02-12 00:00:00,2020,2,12,quarta-feira,3
2020-02-13 00:00:00,2020,2,13,quinta-feira,4
2020-02-14 00:00:00,2020,2,14,sexta-feira,5
2020-02-15 00:00:00,2020,2,15,sábado,6
2020-02-16 00:00:00,2020,2,16,domingo,0
2020-02-17 00:00:00,2020,2,17,segunda-feira,1
2020-02-18 00:00:00,2020,2,18,terça-feira,2
2020-02-19 00:00:00,2020,2,19,quarta-feira,3
2020-02-20 00:00:00,2020,2,20,quinta-feira,4
2020-02-21 00:00:00,2020,2,21,sexta-feira,5
2020-02-22 00:00:00,2020,2,22,sábado,6
2020-02-23 00:00:00,2020,2,23,domingo,0
2020-02-24 00:00:00,2020,2,24,segunda-feira,1
2020-02-25 00:00:00,2020,2,25,terça-feira,2
2020-02-26 00:00:00,2020,2,26,quarta-feira,3
2020-02-27 00:00:00,2020,2,27,quinta-feira,4
2020-02-28 00:00:00,2020,2,28,sexta-feira,5
2020-02-29 00:00:00,2020,2,29,sábado,6
2020-03-01 00:00:00,2020,3,1,domingo,0
2020-03-02 00:00:00,2020,3,2,segunda-feira,1
2020-03-03 00:00:00,2020,3,3,terça-feira,2
2020-03-04 00:00:00,2020,3,4,quarta-feira,3
2020-03-05 00:00:00,2020,3,5,quinta-feira,4
2020-03-06 00:00:00,2020,3,6,sexta-feira,5
2020-03-07 00:00:00,2020,3,7,sábado,6
2020-03-08 00:00:00,2020,3,8,domingo,0
2020-03-09 00:00:00,2020,3,9,segunda-feira,1
2020-03-10 00:00:00,2020,3,10,terça-feira,2
2020-03-11 00:00:00,2020,3,11,quarta-feira,3
2020-03-12 00:00:00,2020,3,12,quinta-feira,4
2020-03-13 00:00:00,2020,3,13,sexta-feira,5
2020-03-14 00:00:00,2020,3,14,sábado,6
2020-03-15 00:00:00,2020,3,15,domingo,0
2020-03-16 00:00:00,2020,3,16,segunda-feira,1
2020-03-17 00:00:00,2020,3,17,terça-feira,2
2020-03-18 00:00:00,2020,3,18,quarta-feira,3
2020-03-19 00:00:00,2020,3,19,quinta-feira,4
2020-03-20 00:00:00,2020,3,20,sexta-feira,5
2020-03-21 00:00:00,2020,3,21,sábado,6
2020-03-22 00:00:00,2020,3,22,domingo,0
2020-03-23 00:00:00,2020,3,23,segunda-feira,1
2020-03-24 00:00:00,2020,3,24,terça-feira,2
2020-03-25 00:00:00,2020,3,25,quarta-feira,3
2020-03-26 00:00:00,2020,3,26,quinta-feira,4
2020-03-27 00:00:00,2020,3,27,sexta-feira,5
2020-03-28 00:00:00,2020,3,28,sábado,6
2020-03-29 00:00:00,2020,3,29,domingo,0
2020-03-30 00:00:00,2020,3,30,segunda-feira,1
2020-03-31 00:00:00,2020,3,31,terça-feira,2
2020-04-01 00:00:00,2020,4,1,quarta-feira,3
2020-04-02 00:00:00,2020,4,2,quinta-feira,4
2020-04-03 00:00:00,2020,4,3,sexta-feira,5
2020-04-04 00:00:00,2020,4,4,sábado,6
2020-04-05 00:00:00,2020,4,5,domingo,0
2020-04-06 00:00:00,2020,4,6,segunda-feira,1
2020-04-07 00:00:00,2020,4,7,terça-feira,2
2020-04-08 00:00:00,2020,4,8,quarta-feira,3
2020-04-09 00:00:00,2020,4,9,quinta-feira,4
2020-04-10 00:00:00,2020,4,10,sexta-feira,5
2020-04-11 00:00:00,2020,4,11,sábado,6
2020-04-12 00:00:00,2020,4,12,domingo,0
2020-04-13 00:00:00,2020,4,13,segunda-feira,1
2020-04-14 00:00:00,2020,4,14,terça-feira,2
2020-04-15 00:00:00,2020,4,15,quarta-feira,3
2020-04-16 00:00:00,2020,4,16,quinta-feira,4
2020-04-17 00:00:00,2020,4,17,sexta-feira,5
2020-04-18 00:00:00,2020,4,18,sábado,6
2020-04-19 00:00:00,2020,4,19,domingo,0
2020-04-20 00:00:00,2020,4,20,segunda-feira,1
2020-04-21 00:00:00,2020,4,21,terça-feira,2
2020-04-22 00:00:00,2020,4,22,quarta-feira,3
2020-04-23 00:00:00,2020,4,23,quinta-feira,4
2020-04-24 00:00:00,2020,4,24,sexta-feira,5
2020-04-25 00:00:00,2020,4,25,sábado,6
2020-04-26 00:00:00,2020,4,26,domingo,0
2020-04-27 00:00:00,2020,4,27,segunda-feira,1
2020-04-28 00:00:00,2020,4,28,terça-feira,2
2020-04-29 00:00:00,2020,4,29,quarta-feira,3
2020-04-30 00:00:00,2020,4,30,quinta-feira,4
2020-05-01 00:00:00,2020,5,1,sexta-feira,5
2020-05-02 00:00:00,2020,5,2,sábado,6
2020-05-03 00:00:00,2020,5,3,domingo,0
2020-05-04 00:00:00,2020,5,4,segunda-feira,1
2020-05-05 00:00:00,2020,5,5,terça-feira,2
2020-05-06 00:00:00,2020,5,6,quarta-feira,3
2020-05-07 00:00:00,2020,5,7,quinta-feira,4
2020-05-08 00:00:00,2020,5,8,sexta-feira,5
2020-05-09 00:00:00,2020,5,9,sábado,6
2020-05-10 00:00:00,2020,5,10,domingo,0
2020-05-11 00:00:00,2020,5,11,segunda-feira,1
2020-05-12 00:00:00,2020,5,12,terça-feira,2
2020-05-13 00:00:00,2020,5,13,quarta-feira,3
2020-05-14 00:00:00,2020,5,14,quinta-feira,4
2020-05-15 00:00:00,2020,5,15,sexta-feira,5
2020-05-16 00:00:00,2020,5,16,sábado,6
2020-05-17 00:00:00,2020,5,17,domingo,0
2020-05-18 00:00:00,2020,5,18,segunda-feira,1
2020-05-19 00:00:00,2020,5,19,terça-feira,2
2020-05-20 00:00:00,2020,5,20,quarta-feira,3
2020-05-21 00:00:00,2020,5,21,quinta-feira,4
2020-05-22 00:00:00,2020,5,22,sexta-feira,5
2020-05-23 00:00:00,2020,5,23,sábado,6
2020-05-24 00:00:00,2020,5,24,domingo,0
2020-05-25 00:00:00,2020,5,25,segunda-feira,1
2020-05-26 00:00:00,2020,5,26,terça-feira,2
2020-05-27 00:00:00,2020,5,27,quarta-feira,3
2020-05-28 00:00:00,2020,5,28,quinta-feira,4
2020-05-29 00:00:00,2020,5,29,sexta-feira,5
2020-05-30 00:00:00,2020,5,30,sábado,6
2020-05-31 00:00:00,2020,5,31,domingo,0
2020-06-01 00:00:00,2020,6,1,segunda-feira,1
2020-06-02 00:00:00,2020,6,2,terça-feira,2
2020-06-03 00:00:00,2020,6,3,quarta-feira,3
2020-06-04 00:00:00,2020,6,4,quinta-feira,4
2020-06-05 00:00:00,2020,6,5,sexta-feira,5
2020-06-06 00:00:00,2020,6,6,sábado,6
2020-06-07 00:00:00,2020,6,7,domingo,0
2020-06-08 00:00:00,2020,6,8,segunda-feira,1
2020-06-09 00:00:00,2020,6,9,terça-feira,2
2020-06-10 00:00:00,2020,6,10,quarta-feira,3
2020-06-11 00:00:00,2020,6,11,quinta-feira,4
2020-06-12 00:00:00,2020,6,12,sexta-feira,5
2020-06-13 00:00:00,2020,6,13,sábado,6
2020-06-14 00:00:00,2020,6,14,domingo,0
2020-06-15 00:00:00,2020,6,15,segunda-feira,1
2020-06-16 00:00:00,2020,6,16,terça-feira,2
2020-06-17 00:00:00,2020,6,17,quarta-feira,3
2020-06-18 00:00:00,2020,6,18,quinta-feira,4
2020-06-19 00:00:00,2020,6,19,sexta-feira,5
2020-06-20 00:00:00,2020,6,20,sábado,6
2020-06-21 00:00:00,2020,6,21,domingo,0
2020-06-22 00:00:00,2020,6,22,segunda-feira,1
2020-06-23 00:00:00,2020,6,23,terça-feira,2
2020-06-24 00:00:00,2020,6,24,quarta-feira,3
2020-06-25 00:00:00,2020,6,25,quinta-feira,4
2020-06-26 00:00:00,2020,6,26,sexta-feira,5
2020-06-27 00:00:00,2020,6,27,sábado,6
2020-06-28 00:00:00,2020,6,28,domingo,0
2020-06-29 00:00:00,2020,6,29,segunda-feira,1
2020-06-30 00:00:00,2020,6,30,terça-feira,2
2020-07-01 00:00:00,2020,7,1,quarta-feira,3
2020-07-02 00:00:00,2020,7,2,quinta-feira,4
2020-07-03 00:00:00,2020,7,3,sexta-feira,5
2020-07-04 00:00:00,2020,7,4,sábado,6
2020-07-05 00:00:00,2020,7,5,domingo,0
2020-07-06 00:00:00,2020,7,6,segunda-feira,1
2020-07-07 00:00:00,2020,7,7,terça-feira,2
2020-07-08 00:00:00,2020,7,8,quarta-feira,3
2020-07-09 00:00:00,2020,7,9,quinta-feira,4
2020-07-10 00:00:00,2020,7,10,sexta-feira,5
2020-07-11 00:00:00,2020,7,11,sábado,6
2020-07-12 00:00:00,2020,7,12,domingo,0
2020-07-13 00:00:00,2020,7,13,segunda-feira,1
2020-07-14 00:00:00,2020,7,14,terça-feira,2
2020-07-15 00:00:00,2020,7,15,quarta-feira,3
2020-07-16 00:00:00,2020,7,16,quinta-feira,4
2020-07-17 00:00:00,2020,7,17,sexta-feira,5
2020-07-18 00:00:00,2020,7,18,sábado,6
2020-07-19 00:00:00,2020,7,19,domingo,0
2020-07-20 00:00:00,2020,7,20,segunda-feira,1
2020-07-21 00:00:00,2020,7,21,terça-feira,2
2020-07-22 00:00:00,2020,7,22,quarta-feira,3
2020-07-23 00:00:00,2020,7,23,quinta-feira,4
2020-07-24 00:00:00,2020,7,24,sexta-feira,5
2020-07-25 00:00:00,2020,7,25,sábado,6
2020-07-26 00:00:00,2020,7,26,domingo,0
2020-07-27 00:00:00,2020,7,27,segunda-feira,1
2020-07-28 00:00:00,2020,7,28,terça-feira,2
2020-07-29 00:00:00,2020,7,29,quarta-feira,3
2020-07-30 00:00:00,2020,7,30,quinta-feira,4
2020-07-31 00:00:00,2020,7,31,sexta-feira,5
2020-08-01 00:00:00,2020,8,1,sábado,6
2020-08-02 00:00:00,2020,8,2,domingo,0
2020-08-03 00:00:00,2020,8,3,segunda-feira,1
2020-08-04 00:00:00,2020,8,4,terça-feira,2
2020-08-05 00:00:00,2020,8,5,quarta-feira,3
2020-08-06 00:00:00,2020,8,6,quinta-feira,4
2020-08-07 00:00:00,2020,8,7,sexta-feira,5
2020-08-08 00:00:00,2020,8,8,sábado,6
2020-08-09 00:00:00,2020,8,9,domingo,0
2020-08-10 00:00:00,2020,8,10,segunda-feira,1
2020-08-11 00:00:00,2020,8,11,terça-feira,2
2020-08-12 00:00:00,2020,8,12,quarta-feira,3
2020-08-13 00:00:00,2020,8,13,quinta-feira,4
2020-08-14 00:00:00,2020,8,14,sexta-feira,5
2020-08-15 00:00:00,2020,8,15,sábado,6
2020-08-16 00:00:00,2020,8,16,domingo,0
2020-08-17 00:00:00,2020,8,17,segunda-feira,1
2020-08-18 00:00:00,2020,8,18,terça-feira,2
2020-08-19 00:00:00,2020,8,19,quarta-feira,3
2020-08-20 00:00:00,2020,8,20,quinta-feira,4
2020-08-21 00:00:00,2020,8,21,sexta-feira,5
2020-08-22 00:00:00,2020,8,22,sábado,6
2020-08-23 00:00:00,2020,8,23,domingo,0
2020-08-24 00:00:00,2020,8,24,segunda-feira,1
2020-08-25 00:00:00,2020,8,25,terça-feira,2
2020-08-26 00:00:00,2020,8,26,quarta-feira,3
2020-08-27 00:00:00,2020,8,27,quinta-feira,4
2020-08-28 00:00:00,2020,8,28,sexta-feira,5
2020-08-29 00:00:00,2020,8,29,sábado,6
2020-08-30 00:00:00,2020,8,30,domingo,0
2020-08-31 00:00:00,2020,8,31,segunda-feira,1
2020-09-01 00:00:00,2020,9,1,terça-feira,2
2020-09-02 00:00:00,2020,9,2,quarta-feira,3
2020-09-03 00:00:00,2020,9,3,quinta-feira,4
2020-09-04 00:00:00,2020,9,4,sexta-feira,5
2020-09-05 00:00:00,2020,9,5,sábado,6
2020-09-06 00:00:00,2020,9,6,domingo,0
2020-09-07 00:00:00,2020,9,7,segunda-feira,1
2020-09-08 00:00:00,2020,9,8,terça-feira,2
2020-09-09 00:00:00,2020,9,9,quarta-feira,3
2020-09-10 00:00:00,2020,9,10,quinta-feira,4
2020-09-11 00:00:00,2020,9,11,sexta-feira,5
2020-09-12 00:00:00,2020,9,12,sábado,6
2020-09-13 00:00:00,2020,9,13,domingo,0
2020-09-14 00:00:00,2020,9,14,segunda-feira,1
2020-09-15 00:00:00,2020,9,15,terça-feira,2
2020-09-16 00:00:00,2020,9,16,quarta-feira,3
2020-09-17 00:00:00,2020,9,17,quinta-feira,4
2020-09-18 00:00:00,2020,9,18,sexta-feira,5
2020-09-19 00:00:00,2020,9,19,sábado,6
2020-09-20 00:00:00,2020,9,20,domingo,0
2020-09-21 00:00:00,2020,9,21,segunda-feira,1
2020-09-22 00:00:00,2020,9,22,terça-feira,2
2020-09-23 00:00:00,2020,9,23,quarta-feira,3
2020-09-24 00:00:00,2020,9,24,quinta-feira,4
2020-09-25 00:00:00,2020,9,25,sexta-feira,5
2020-09-26 00:00:00,2020,9,26,sábado,6
2020-09-27 00:00:00,2020,9,27,domingo,0
2020-09-28 00:00:00,2020,9,28,segunda-feira,1
2020-09-29 00:00:00,2020,9,29,terça-feira,2
2020-09-30 00:00:00,2020,9,30,quarta-feira,3
2020-10-01 00:00:00,2020,10,1,quinta-feira,4
2020-10-02 00:00:00,2020,10,2,sexta-feira,5
2020-10-03 00:00:00,2020,10,3,sábado,6
2020-10-04 00:00:00,2020,10,4,domingo,0
2020-10-05 00:00:00,2020,10,5,segunda-feira,1
2020-10-06 00:00:00,2020,10,6,terça-feira,2
2020-10-07 00:00:00,2020,10,7,quarta-feira,3
2020-10-08 00:00:00,2020,10,8,quinta-feira,4
2020-10-09 00:00:00,2020,10,9,sexta-feira,5
2020-10-10 00:00:00,2020,10,10,sábado,6
2020-10-11 00:00:00,2020,10,11,domingo,0
2020-10-12 00:00:00,2020,10,12,segunda-feira,1
2020-10-13 00:00:00,2020,10,13,terça-feira,2
2020-10-14 00:00:00,2020,10,14,quarta-feira,3
2020-10-15 00:00:00,2020,10,15,quinta-feira,4
2020-10-16 00:00:00,2020,10,16,sexta-feira,5
2020-10-17 00:00:00,2020,10,17,sábado,6
2020-10-18 00:00:00,2020,10,18,domingo,0
2020-10-19 00:00:00,2020,10,19,segunda-feira,1
2020-10-20 00:00:00,2020,10,20,terça-feira,2
2020-10-21 00:00:00,2020,10,21,quarta-feira,3
2020-10-22 00:00:00,2020,10,22,quinta-feira,4
2020-10-23 00:00:00,2020,10,23,sexta-feira,5
2020-10-24 00:00:00,2020,10,24,sábado,6
2020-10-25 00:00:00,2020,10,25,domingo,0
2020-10-26 00:00:00,2020,10,26,segunda-feira,1
2020-10-27 00:00:00,2020,10,27,terça-feira,2
2020-10-28 00:00:00,2020,10,28,quarta-feira,3
2020-10-29 00:00:00,2020,10,29,quinta-feira,4
2020-10-30 00:00:00,2020,10,30,sexta-feira,5
2020-10-31 00:00:00,2020,10,31,sábado,6
2020-11-01 00:00:00,2020,11,1,domingo,0
2020-11-02 00:00:00,2020,11,2,segunda-feira,1
2020-11-03 00:00:00,2020,11,3,terça-feira,2
2020-11-04 00:00:00,2020,11,4,quarta-feira,3
2020-11-05 00:00:00,2020,11,5,quinta-feira,4
2020-11-06 00:00:00,2020,11,6,sexta-feira,5
2020-11-07 00:00:00,2020,11,7,sábado,6
2020-11-08 00:00:00,2020,11,8,domingo,0
2020-11-09 00:00:00,2020,11,9,segunda-feira,1
2020-11-10 00:00:00,2020,11,10,terça-feira,2
2020-11-11 00:00:00,2020,11,11,quarta-feira,3
2020-11-12 00:00:00,2020,11,12,quinta-feira,4
2020-11-13 00:00:00,2020,11,13,sexta-feira,5
2020-11-14 00:00:00,2020,11,14,sábado,6
2020-11-15 00:00:00,2020,11,15,domingo,0
2020-11-16 00:00:00,2020,11,16,segunda-feira,1
2020-11-17 00:00:00,2020,11,17,terça-feira,2
2020-11-18 00:00:00,2020,11,18,quarta-feira,3
2020-11-19 00:00:00,2020,11,19,quinta-feira,4
2020-11-20 00:00:00,2020,11,20,sexta-feira,5
2020-11-21 00:00:00,2020,11,21,sábado,6
2020-11-22 00:00:00,2020,11,22,domingo,0
2020-11-23 00:00:00,2020,11,23,segunda-feira,1
2020-11-24 00:00:00,2020,11,24,terça-feira,2
2020-11-25 00:00:00,2020,11,25,quarta-feira,3
2020-11-26 00:00:00,2020,11,26,quinta-feira,4
2020-11-27 00:00:00,2020,11,27,sexta-feira,5
2020-11-28 00:00:00,2020,11,28,sábado,6
2020-11-29 00:00:00,2020,11,29,domingo,0
2020-11-30 00:00:00,2020,11,30,segunda-feira,1
2020-12-01 00:00:00,2020,12,1,terça-feira,2
2020-12-02 00:00:00,2020,12,2,quarta-feira,3
2020-12-03 00:00:00,2020,12,3,quinta-feira,4
2020-12-04 00:00:00,2020,12,4,sexta-feira,5
2020-12-05 00:00:00,2020,12,5,sábado,6
2020-12-06 00:00:00,2020,12,6,domingo,0
2020-12-07 00:00:00,2020,12,7,segunda-feira,1
2020-12-08 00:00:00,2020,12,8,terça-feira,2
2020-12-09 00:00:00,2020,12,9,quarta-feira,3
2020-12-10 00:00:00,2020,12,10,quinta-feira,4
2020-12-11 00:00:00,2020,12,11,sexta-feira,5
2020-12-12 00:00:00,2020,12,12,sábado,6
2020-12-13 00:00:00,2020,12,13,domingo,0
2020-12-14 00:00:00,2020,12,14,segunda-feira,1
