,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,42086418,2021-03-12,2021-03-14,Condomínio inteiro em Ilha Porchat,WI-FI / GARAGEM  / NETFLIX /ILHA PORCHAT  💙 💙,4 hóspedes,Estúdio,2 camas,1 banheiro e meio,Elevador,Wi-Fi,Self check-In,Ar-condicionado,5.0,16,127,253,Novo preço mais baixo
1,32122547,2021-03-12,2021-03-14,Apartamento inteiro em Aparecida,Kitnet frente a praia VISTA LINDA PARA O MAR,4 hóspedes,Estúdio,3 camas,1 banheiro,Elevador,Wi-Fi,Vista para o mar,Ar-condicionado,4.72,137,123,246,Raridade
2,46745761,2021-03-12,2021-03-14,Apartamento inteiro em Barra Funda,GUARUJÁ PITANGUEIRAS 50 M DA PRAIA - Pé na Areia!,5 hóspedes,1 quarto,3 camas,1 banheiro,Elevador,Ar-condicionado,Permitido animais,Cozinha,5.0,8,178,454,Raridade
3,46313068,2021-03-12,2021-03-14,Condomínio inteiro em Centerville,Tranquilo com vista para o Rio e próximo de tudo.,5 hóspedes,1 quarto,2 camas,1 banheiro e meio,Vista para as águas,Ar-condicionado,Estacionamento gratuito,Permitido animais,4.60,5,129,308,Novo preço mais baixo
4,22030682,2021-03-26,2021-03-28,Flat inteiro em Gonzaga,Estanconfor Santos Gonzaga,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.89,170,234,468,Raridade
5,41269141,2021-03-26,2021-03-28,Apartamento inteiro em Itararé,APTO STUDIO Santos-São Vicente Vista ao mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Vista para o mar,4.88,44,112,284,Raridade
6,40945881,2021-03-26,2021-03-28,Loft inteiro em Guarujá,"Guarujá, praia 1 quadra, Wi-Fi, ar Split - 1002",4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.83,41,187,434,Raridade
7,39216218,2021-03-05,2021-03-07,Apartamento inteiro em  São Vicente,Kit Veraneio - Vista total para o mar,3 hóspedes,1 quarto,1 cama,1 banheiro,Cozinha,Elevador,Self check-In,Vista para o mar,4.96,52,121,342,Novo preço mais baixo
8,24115709,2021-03-05,2021-03-07,Apartamento inteiro em Santos,wi-fi/ar condicionado/ TV 4k/ utensílios praia,3 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.95,107,144,382,Raridade
9,46745761,2021-03-12,2021-03-14,Apartamento inteiro em Barra Funda,GUARUJÁ PITANGUEIRAS 50 M DA PRAIA - Pé na Areia!,5 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Cozinha,Permitido animais,Elevador,5.0,8,178,454,Raridade
10,40945881,2021-03-12,2021-03-14,Loft inteiro em Guarujá,"Guarujá, praia 1 quadra, Wi-Fi, ar Split - 1002",4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.83,41,210,479,Raridade
11,24115709,2021-03-12,2021-03-14,Apartamento inteiro em Santos,wi-fi/ar condicionado/ TV 4k/ utensílios praia,3 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.95,107,144,382,Raridade
12,46313068,2021-03-19,2021-03-21,Condomínio inteiro em Centerville,Tranquilo com vista para o Rio e próximo de tudo.,5 hóspedes,1 quarto,2 camas,1 banheiro e meio,Ar-condicionado,Cozinha,Estacionamento gratuito,Permitido animais,4.60,5,129,308,Novo preço mais baixo
13,21846655,2021-03-19,2021-03-21,Loft inteiro em Ponta da Praia,"Apto aconchegante para suas férias, Praia/Santos",4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.87,269,123,246,Raridade
14,39331395,2021-03-05,2021-03-07,Apartamento inteiro em São Paulo,"Apto lindo e aconchegante, ambiente familiar!",6 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.76,50,457,913,Raridade
15,45362756,2021-03-05,2021-03-07,Apartamento inteiro em Sé,"Suíte com Sacada no 24º Andar, Wi-Fi & Cama Queen!",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Academia,4.86,64,99,283,Novo preço mais baixo
16,36625620,2021-03-05,2021-03-07,Apartamento inteiro em Santos,Requinte & Conforto Frente à Praia do Gonzaga.,4 hóspedes,1 quarto,2 camas,1 banheiro e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.97,32,226,571,Raridade
17,46295687,2021-03-19,2021-03-21,Casa de hóspedes inteira em Morada da Praia,Casa inteira Casinha aconchegante  Boracéia Morada,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Estacionamento gratuito,Permitido animais,4.67,6,105,349,Novo preço mais baixo
18,22469373,2021-03-19,2021-03-21,Apartamento inteiro em Vila Assuncao,Apto - Temporada - Praia Grande,6 hóspedes,1 quarto,6 camas,1 banheiro,Elevador,Wi-Fi,Self check-In,Vista para o mar,4.59,39,103,205,Novo preço mais baixo
19,38842222,2021-03-19,2021-03-21,Flat inteiro em São Vicente,Flat em Apart Service c/Lazer e Serviços Diários-2,3 hóspedes,Estúdio,1 cama,1 banheiro,Elevador,Wi-Fi,Ar-condicionado,Estacionamento gratuito,4.42,19,149,297,Raridade
20,45991304,2021-03-19,2021-03-21,Condomínio inteiro em Vila Clais,Apto 2 Quartos Sacada com Churrasqueira Vista Mar,6 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Academia,Estacionamento gratuito,Cozinha,5.0,10,357,833,Novo preço mais baixo
21,41364919,2021-03-19,2021-03-21,Apartamento inteiro em Santos,Casual & Atemporal Frente à Praia José Menino.,4 hóspedes,Estúdio,2 camas,1 banheiro,Wi-Fi,Self check-In,Vista para o mar,Secadora,4.94,16,208,536,Raridade
