,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,20193688,2021-02-26,2021-02-28,Apartamento inteiro em Jardim Las Palmas,Astúrias Apto aconchegante perto da praia,2 hóspedes,1 quarto,1 cama,1 banheiro,Ar-condicionado,Piscina,Cozinha,Estacionamento gratuito,4.82,46,228,456,Novo preço mais baixo
1,37237280,2021-02-26,2021-02-28,Quarto inteiro em Pitangueiras,Suíte Guarujá apto Frente Mar 2,7 hóspedes,1 quarto,4 camas,1 banheiro e meio,Wi-Fi,Cozinha,Permitido animais,Elevador,4.67,21,185,369,Novo preço mais baixo
2,44419309,2021-02-26,2021-02-28,Apartamento inteiro em José Menino,Charmoso apartamento em Santos na quadra da praia,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.84,25,171,342,Novo preço mais baixo
3,39763299,2021-02-26,2021-02-28,Apartamento inteiro em José Menino,"Conforto,frente à praia do José menino/Santos",3 hóspedes,Estúdio,2 camas,1 banheiro,Cozinha,Permitido animais,Elevador,Vista para o mar,4.65,51,108,296,Novo preço mais baixo
4,20774709,2021-02-26,2021-02-28,"Apartamento inteiro em Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4 hóspedes,1 quarto,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.49,97,188,456,Novo preço mais baixo
5,45884578,2021-02-26,2021-02-28,Apartamento inteiro em Itararé,"Lindo Kit Novíssimo, Pé na Areia no Itararé.",2 hóspedes,Estúdio,4 camas,1 banheiro,Wi-Fi,Cozinha,Elevador,Vista para as águas,5.0,12,155,389,Novo preço mais baixo
6,40939239,2021-02-26,2021-02-28,Quarto inteiro em Pitangueiras,Suíte Guarujá apto Frente Mar 3,9 hóspedes,1 quarto,2 camas,1 banheiro e meio,Wi-Fi,Elevador,Self check-In,Vista para o mar,5.0,15,185,369,Novo preço mais baixo
7,47586746,2021-02-26,2021-02-28,Apartamento inteiro em Vila Auzira,Apartamento Guarujá Asturias,6 hóspedes,1 quarto,1 cama,1 banheiro,Self check-In,Vista para o mar,Máquina de Lavar,Ar-condicionado,5.0,4,203,525,Novo preço mais baixo
8,21458651,2021-02-26,2021-02-28,Condomínio inteiro em Vila Julia,"Apto, 1 quarto, amplo, ar cond, vent , tvs, wi-fi",4 hóspedes,1 quarto,3 camas,2 banheiros,Wi-Fi,Elevador,Self check-In,Ar-condicionado,4.58,31,182,514,Novo preço mais baixo
9,39675737,2021-02-26,2021-02-28,Apartamento inteiro em Jardim Las Palmas,Apartamento sofisticado - Praia das Astúrias,6 hóspedes,Estúdio,4 camas,2 banheiros,Elevador,Máquina de Lavar,Ar-condicionado,Piscina,4.66,30,252,673,Novo preço mais baixo
10,43058873,2021-02-26,2021-02-28,Apartamento inteiro em Guarujá,"Apto na melhor parte da Enseada,pertinho do mar.",4 hóspedes,2 quartos,2 camas,2 banheiros,Wi-Fi,Elevador,Máquina de Lavar,Ar-condicionado,5.0,16,243,685,Novo preço mais baixo
11,41143618,2021-02-26,2021-02-28,Apartamento inteiro em Mongagua,Apto de 1 dorm frente ao mar com piscina no centro,6 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Elevador,Vista para o mar,Cozinha,4.89,35,178,445,Raridade
12,45225100,2021-02-12,2021-02-14,Apartamento inteiro em Vila Maia,"Canto do Maluf, frente ao mar com serviço de praia",10 hóspedes,3 quartos,6 camas,3 banheiros,Self check-In,Vista para o mar,Ar-condicionado,Cozinha,5.0,8,410,970,Novo preço mais baixo
13,46982403,2021-02-12,2021-02-14,Apartamento inteiro em Balneario Cidade Atlantica,Apto Confortável e Charmoso - Guarujá,5 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Vista para o mar,Ar-condicionado,4.75,4,324,787,Novo preço mais baixo
14,41104336,2021-02-12,2021-02-14,Apartamento inteiro em Jardim Las Palmas,"Village,  Praia doTombo, Guarujá...",6 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.96,24,395,890,Novo preço mais baixo
15,45702799,2021-02-12,2021-02-14,Apartamento inteiro em Guilhermina,Kit em frente a Praia da Guilhermina PG com WI-FI,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Elevador,Vista para o mar,Máquina de Lavar,5.0,10,209,483,Novo preço mais baixo
16,30174112,2021-02-12,2021-02-14,Condomínio inteiro em Guarujá,Apt pé na areia praia do tombo Guarujá,5 hóspedes,1 quarto,2 camas,2 banheiros,Wi-Fi,Vista para o mar,Ar-condicionado,Cozinha,4.75,29,464,1.027,Novo preço mais baixo
17,46705057,2021-02-12,2021-02-14,Apartamento inteiro em Nova Mirim,Apto 303 - aconchegante e a poucos metros da praia,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Self check-In,Ar-condicionado,Cozinha,4.60,5,203,406,Novo preço mais baixo
18,30563875,2021-02-12,2021-02-14,Apartamento inteiro em Canto do Forte,Aconchegante Apartamento no Canto do forte,4 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Elevador,Self check-In,Cozinha,4.96,46,295,730,Novo preço mais baixo
19,46866361,2021-02-12,2021-02-14,Apartamento inteiro em Vila Tupi,"Kitnet 150 m da praia c/ Garagem, WiFi e TV a Cabo",4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,142,401,Novo preço mais baixo
20,13979594,2021-02-19,2021-02-21,Apartamento inteiro em São Vicente,"""Atravessou a rua... tá na praia!""",6 hóspedes,1 quarto,1 cama,1 banheiro e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,17,123,365,Novo preço mais baixo
21,46545728,2021-02-19,2021-02-21,Apartamento inteiro em Aparecida,"Pé na Areia, em frente a praia, no Embaré Santos",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Permitido animais,5.0,3,228,456,Novo preço mais baixo
22,22237772,2021-02-12,2021-02-14,Condomínio inteiro em Jardim Las Palmas,Lindo APT resort 3 quartos 2 suite 2 vaga ASTURIAS,8 hóspedes,3 quartos,4 camas,4 banheiros,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.72,36,584,1.366,Novo preço mais baixo
23,45020057,2021-02-19,2021-02-21,Apartamento inteiro em José Menino,Book Santos - Unlimited 911 - Estúdio Elegância,4 hóspedes,1 quarto,1 cama,1 banheiro,Piscina,Estacionamento gratuito,Wi-Fi,Ar-condicionado,4.89,27,344,818,Raridade
24,5930689,2021-02-12,2021-02-14,Apartamento inteiro em Guarujá,Apartamento 150 mts da praia da enseada -  Guarujá,6 hóspedes,2 quartos,5 camas,1 banheiro,Elevador,Cozinha,Estacionamento gratuito,Permitido animais,4.60,10,428,856,Novo preço mais baixo
