,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,40945881,2021-03-26,2021-03-28,Loft inteiro em Guarujá,"Guarujá, praia 1 quadra, Wi-Fi, ar Split - 1002",4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.83,41,187,434,Raridade
1,32401352,2021-03-26,2021-03-28,Quarto inteiro em Barra Funda,Suíte aconchegante Pitangueiras  Guarujá,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Piscina,Estacionamento gratuito,Elevador,4.87,92,206,411,Raridade
2,37617267,2021-03-26,2021-03-28,Apartamento inteiro em Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - BOULEVARD 1812,4 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Piscina,Estacionamento gratuito,Elevador,4.77,31,226,452,Raridade
3,22030682,2021-03-26,2021-03-28,Flat inteiro em Gonzaga,Estanconfor Santos Gonzaga,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.89,168,234,468,Raridade
4,39671588,2021-03-26,2021-03-28,Apartamento inteiro em Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - BOULEVARD 1710,4 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Piscina,Estacionamento gratuito,Elevador,4.76,34,226,452,Raridade
5,47114796,2021-03-05,2021-03-07,Apartamento inteiro em Enseada,"Apto lindo na Enseada, 350 m da praia, tudo perto",5 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.80,5,167,434,Raridade
6,46287455,2021-03-05,2021-03-07,Apartamento inteiro em José Menino,"Studio 207, Vista para o Mar com WI-FI",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.57,7,187,508,Raridade
7,33075341,2021-03-05,2021-03-07,Apartamento inteiro em Barra Funda,"Kitnet Guarujá Centro, Pitangueiras",4 hóspedes,1 quarto,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Elevador,Máquina de Lavar,4.62,53,188,456,Novo preço mais baixo
8,47474766,2021-03-05,2021-03-07,Loft inteiro em Jardim Las Palmas,Apartamento Loft acolhedor praia Astúrias Guarujá.,4 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,3,181,510,Novo preço mais baixo
9,41269141,2021-03-05,2021-03-07,Apartamento inteiro em Itararé,APTO STUDIO Santos-São Vicente Vista ao mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Vista para o mar,4.88,44,112,284,Raridade
10,47294739,2021-03-05,2021-03-07,Apartamento inteiro em Vila Julia,Venha desfrutar do melhor do Guarujá,5 hóspedes,1 quarto,1 cama,1 banheiro e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,3.75,4,104,308,Novo preço mais baixo
11,45507297,2021-03-05,2021-03-07,Apartamento inteiro em São Paulo,"Apto na quadra da praia Gonzaguinha, São Vicente.",5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Máquina de Lavar,5.0,5,160,320,Raridade
12,36625620,2021-03-19,2021-03-21,Apartamento inteiro em Santos,Requinte & Conforto Frente à Praia do Gonzaga.,4 hóspedes,1 quarto,2 camas,1 banheiro e meio,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.97,31,226,571,Raridade
13,20774709,2021-03-19,2021-03-21,"Apartamento inteiro em Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4 hóspedes,1 quarto,3 camas,1 banheiro,Elevador,Self check-In,Cozinha,Estacionamento gratuito,4.49,97,188,456,Novo preço mais baixo
14,39704194,2021-03-19,2021-03-21,Apartamento inteiro em São Vicente,"Ilha Porchat, Vista Panorâmica, estacionamento",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Elevador,Vista para o mar,Ar-condicionado,4.86,42,145,399,Raridade
15,13595641,2021-03-19,2021-03-21,Apartamento inteiro em Guarujá,Apto aconchegante e ensolarado,6 hóspedes,1 quarto,6 camas,1 banheiro,Wi-Fi,Elevador,Self check-In,Cozinha,4.95,20,157,434,Novo preço mais baixo
16,33075341,2021-03-19,2021-03-21,Apartamento inteiro em Barra Funda,"Kitnet Guarujá Centro, Pitangueiras",4 hóspedes,1 quarto,3 camas,1 banheiro,Elevador,Self check-In,Máquina de Lavar,Cozinha,4.62,53,188,456,Novo preço mais baixo
17,46287455,2021-03-19,2021-03-21,Apartamento inteiro em José Menino,"Studio 207, Vista para o Mar com WI-FI",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Vista para o mar,Ar-condicionado,4.57,7,187,508,Raridade
18,13138016,2021-03-19,2021-03-21,Apartamento inteiro em Santos,Canto charmoso na praia,4 hóspedes,Estúdio,2 camas,1 banheiro,Wi-Fi,Elevador,Self check-In,Cozinha,4.77,177,106,262,Raridade
19,30123921,2021-03-19,2021-03-21,Loft inteiro em Itararé,Loft da Bel - frente ao mar,4 hóspedes,Estúdio,3 camas,1 banheiro,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.89,128,140,320,Raridade
20,45507297,2021-03-12,2021-03-14,Apartamento inteiro em São Paulo,"Apto na quadra da praia Gonzaguinha, São Vicente.",5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Cozinha,Permitido animais,Máquina de Lavar,5.0,5,160,320,Raridade
21,38672853,2021-03-12,2021-03-14,Apartamento inteiro em Nova Mirim,Apto 74 pronto para oferecer o melhor pra você!,3 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.94,64,211,502,Raridade
22,15313553,2021-03-12,2021-03-14,Apartamento inteiro em Guarujá,Apartamento espaçoso na vx f 3zx00 m do m,4 hóspedes,2 quartos,5 camas,2 banheiros,Cozinha,Estacionamento gratuito,Elevador,Self check-In,4.78,155,163,445,Raridade
23,32407595,2021-03-12,2021-03-14,Apartamento inteiro em Parque Enseada,Apartamento 1 dormitório com piscina e lazer,6 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,12,214,548,Novo preço mais baixo
24,46033720,2021-03-12,2021-03-14,Apartamento inteiro em José Menino,"Studio 607, frente ao mar, completo  todo decorado",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Vista para o mar,Ar-condicionado,5.0,9,181,496,Raridade
25,32646079,2021-03-12,2021-03-14,Apartamento inteiro em Santos,Luxo e conforto perto de tudo e da praia,4 hóspedes,Estúdio,2 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Ar-condicionado,Cozinha,4.95,87,176,411,Raridade
