,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,46918355,2021-02-19,2021-02-21,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,5.0,3,166,331,Novo preço mais baixo
1,45067470,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.88,16,145,340,Raridade
2,33871243,2021-02-19,2021-02-21,Casa inteira em Cibratel I,Cantinho de Ita,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Permitido animais,4.59,34,149,417,Raridade
3,46879880,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 5 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
4,41130504,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,35,145,340,Raridade
5,47076927,2021-02-26,2021-02-28,Casa inteira em Cibratel II,Nova 3 Quartos e Piscina - Capacidade 10 Pessoas.,12 hóspedes,3 quartos,9 camas,2 banheiros,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.86,7,338,776,Raridade
6,46896054,2021-02-26,2021-02-28,Casa inteira em Cibratel I,Itanhaem 3 qts  2qds da praia! Ótima localização!,10 hóspedes,3 quartos,7 camas,3 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,8,400,899,Raridade
7,22868881,2021-02-26,2021-02-28,Apartamento inteiro em Nova Mirim,Apartamento Na Ocian com *WiFi e vaga de garagem!,6 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Vista para o mar,Elevador,Self check-In,4.89,46,200,399,Raridade
8,16000395,2021-02-19,2021-02-21,Casa inteira em Itanhaém,ROTA DO SOL! Wi-Fi 120 Mega 300 metros da praia!,12 hóspedes,3 quartos,10 camas,3 banheiros,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.81,52,713,1.426,Novo preço mais baixo
9,13436777,2021-02-19,2021-02-21,Casa inteira em Juquitiba,"Sitio La Vienroça, Mata Atlantica, Juquitiba",6 hóspedes,3 quartos,6 camas,1 banheiro,Wi-Fi,Vista para as águas,Piscina,Cozinha,4.85,59,467,1.084,Raridade
10,30524886,2021-02-19,2021-02-21,Apartamento inteiro em Morumbi,ADD405 Puro charme ao lado do Cons.Americano,2 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Elevador,Academia,Ar-condicionado,4.56,39,158,466,Novo preço mais baixo
11,31212229,2021-02-19,2021-02-21,Quarto inteiro em Gaivota - Praia,Casa à 100 metros do mar com wifi,12 hóspedes,1 quarto,10 camas,1 banheiros privado,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.33,6,182,514,Novo preço mais baixo
12,33346325,2021-02-26,2021-02-28,Quarto de albergue em Vila São Paulo,Aloha Hostel 300m da praia do centro!,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,4.94,16,206,411,Novo preço mais baixo
13,45063145,2021-02-26,2021-02-28,Loft inteiro em Vila Andrade,"Loft Moderno, Completo e aconchegante.",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.78,9,124,397,Raridade
14,20814176,2021-02-19,2021-02-21,Flat inteiro em Vila Andrade,The Hill Residence - Rent Apartment Morumbi,4 hóspedes,1 quarto,2 camas,2 banheiros,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.44,165,177,354,Raridade
15,41062060,2021-02-19,2021-02-21,Casa inteira em Vila Peruibe,Condomínio Bonganville 3,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.53,30,457,913,Raridade
16,45462075,2021-02-19,2021-02-21,Apartamento inteiro em Nova Mirim,Apartamento com linda vista ao mar,4 hóspedes,1 quarto,3 camas,1 banheiro,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.94,18,280,639,Raridade
17,29394639,2021-02-19,2021-02-21,Flat inteiro em Indianópolis,Flat Mercure Times Square Garden Front Metrô Moema,3 hóspedes,1 quarto,1 cama,1 banheiro,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.90,121,147,294,Raridade
18,17181301,2021-02-26,2021-02-28,Condomínio inteiro em Praia Grande,Maravilhosa cobertura com jacuzzi frente praia,4 hóspedes,1 quarto,3 camas,2 banheiros,Wi-Fi,Vista para o mar,Elevador,Secadora,5.0,27,427,1.153,Novo preço mais baixo
19,22883830,2021-02-26,2021-02-28,Apartamento inteiro em Vila Olímpia,Luxury Duplex Vila Olimpia,2 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Elevador,Secadora,Academia,5.0,35,351,902,Raridade
20,43932528,2021-02-26,2021-02-28,Apartamento inteiro em Vila Matias,FUSION HOME | Garagem | Wi-Fi | Netflix,5 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Self check-In,Secadora,Academia,4.94,32,240,605,Novo preço mais baixo
21,47536057,2021-02-26,2021-02-28,Apartamento inteiro em Cidade Ocian,Vista para o mar Pé  na areia,6 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,5.0,5,241,482,Raridade
22,46690967,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,5,158,375,Novo preço mais baixo
23,39392052,2021-02-26,2021-02-28,Casa inteira em Cibratel II,Linda casa com piscina-Cibratel - 500mt da praia,13 hóspedes,3 quartos,9 camas,2 banheiros e meio,Wi-Fi,Máquina de Lavar,Piscina,Cozinha,4.92,25,559,1.267,Raridade
24,45972915,2021-02-19,2021-02-21,Casa inteira em Gaivota - Praia,CASA INTEIRA VERÂNEIO FAMILIAR (ACONCHEGANTE),8 hóspedes,3 quartos,6 camas,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Permitido animais,4.80,5,269,628,Novo preço mais baixo
25,45760542,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 6 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
26,22197735,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,*** Apartamento em Praia Grande Frente ao Mar ***,6 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.90,79,213,536,Novo preço mais baixo
27,40673627,2021-02-26,2021-02-28,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Ar-condicionado,Máquina de Lavar,Piscina,4.86,21,336,671,Novo preço mais baixo
28,45163925,2021-02-26,2021-02-28,Chalé inteiro em Vila Rita Soares,Chalé aconchegante com vista para o lago e Mata 2,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,17,272,593,Raridade
29,45771317,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 1 Master Família varanda ""Nascer do Sol """,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,226,511,Novo preço mais baixo
30,44641452,2021-02-19,2021-02-21,Casa inteira em Savoy,Kit-net 6 pessoas pé na areia ot preço Itanhaem .,6 hóspedes,1 quarto,6 camas,1 banheiro,Vista para o mar,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,236,571,Novo preço mais baixo
31,45361407,2021-02-19,2021-02-21,Apartamento inteiro em Saúde,TD77 Apartamento moderno na Saúde,3 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Elevador,Secadora,Academia,4.67,21,132,394,Raridade
32,47137619,2021-02-19,2021-02-21,Quarto inteiro em Jardim Las Palmas,✔ Suíte Privada | AC | Piscina | 5 min da Praia,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Máquina de Lavar,Piscina,4.91,11,240,479,Raridade
33,20774709,2021-02-26,2021-02-28,"Apartamento inteiro em Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4 hóspedes,1 quarto,3 camas,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.49,98,188,456,Novo preço mais baixo
34,40633504,2021-02-26,2021-02-28,Flat inteiro em Boqueirão,"#studio57 - A/C, WiFi, Piscina, Churrasq. e Vaga",4 hóspedes,Estúdio,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.94,64,273,625,Raridade
35,40207948,2021-02-26,2021-02-28,Apartamento inteiro em Aviação,Apto locação Praia Grande (Aviação) WiFi - NetFlix,6 hóspedes,2 quartos,2 camas,2 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,21,275,549,Novo preço mais baixo
36,45760542,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 6 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
