,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,46918355,2021-03-05,2021-03-07,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Self check-In,Café da Manhã,Ar-condicionado,5.0,3,166,331,Novo preço mais baixo
1,41129504,2021-03-05,2021-03-07,Quarto inteiro em Peruíbe,Pousada SuíteQ p/3 c/Piscina e Ar Cond-100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.86,29,145,340,Raridade
2,22855084,2021-03-05,2021-03-07,Apartamento inteiro em Jardim Umuarama,Apto em Itanhaém-Tranquilidade e Conforto na Praia,5 hóspedes,2 quartos,4 camas,1 banheiro e meio,Wi-Fi,Self check-In,Cozinha,Estacionamento gratuito,4.85,42,123,276,Novo preço mais baixo
3,47076927,2021-03-05,2021-03-07,Casa inteira em Cibratel II,Nova 3 Quartos e Piscina - Capacidade 10 Pessoas.,12 hóspedes,3 quartos,9 camas,2 banheiros,Wi-Fi,Secadora,Máquina de Lavar,Piscina,4.86,7,338,776,Raridade
4,47076927,2021-03-12,2021-03-14,Casa inteira em Cibratel II,Nova 3 Quartos e Piscina - Capacidade 10 Pessoas.,12 hóspedes,3 quartos,9 camas,2 banheiros,Wi-Fi,Secadora,Máquina de Lavar,Piscina,4.86,7,338,776,Raridade
5,39446325,2021-03-12,2021-03-14,Casa inteira em Cibratel II,Casa cond fechado c/piscina Itanhaem Diária Grátis,8 hóspedes,2 quartos,6 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,30,242,633,Novo preço mais baixo
6,41868008,2021-03-12,2021-03-14,Condomínio inteiro em Praia dos Sonhos,Apartamento pé na areia em Itanhaem/SP frente mar,7 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Vista para o mar,Vista para as águas,Cozinha,4.86,7,286,571,Novo preço mais baixo
7,41129581,2021-03-12,2021-03-14,Quarto inteiro em Peruíbe,Pousada Suíte c/ Piscina e Ar Cond - 100m do mar,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,45,134,317,Raridade
8,43366240,2021-03-12,2021-03-14,Casa inteira em Suarão,Suarão - Casa Praia,12 hóspedes,3 quartos,9 camas,3 banheiros,Wi-Fi,Self check-In,Piscina,Cozinha,4.75,12,321,741,Novo preço mais baixo
9,41132118,2021-03-12,2021-03-14,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.75,24,145,340,Raridade
10,46918355,2021-03-19,2021-03-21,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Self check-In,Café da Manhã,Ar-condicionado,5.0,3,166,331,Novo preço mais baixo
11,41129581,2021-03-19,2021-03-21,Quarto inteiro em Peruíbe,Pousada Suíte c/ Piscina e Ar Cond - 100m do mar,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,45,134,317,Raridade
12,43366240,2021-03-19,2021-03-21,Casa inteira em Suarão,Suarão - Casa Praia,12 hóspedes,3 quartos,9 camas,3 banheiros,Wi-Fi,Self check-In,Piscina,Cozinha,4.75,12,258,616,Novo preço mais baixo
13,23624475,2021-03-26,2021-03-28,Casa inteira em Balneário Tupy,Linda Casa em Itanhaém Litoral SÃo Paulo 1 Quarto,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.90,137,82,164,Raridade
14,23160553,2021-03-26,2021-03-28,Condomínio inteiro em Centro,Resort Itanhaém -  Seu refúgio pé na areia,4 hóspedes,2 quartos,3 camas,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Academia,4.97,70,216,582,Raridade
15,46918355,2021-03-26,2021-03-28,Quarto inteiro em Itanhaém,"Quarto 11 - Pousada do Mar, próxima à praia!!",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,5.0,3,166,331,Novo preço mais baixo
16,41129581,2021-03-26,2021-03-28,Quarto inteiro em Peruíbe,Pousada Suíte c/ Piscina e Ar Cond - 100m do mar,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.91,45,134,317,Raridade
