,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,45067470,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Estacionamento gratuito,Piscina,4.88,16,145,340,Raridade
1,29684686,2021-02-26,2021-02-28,Casa inteira em Peruíbe,Casa do Carlos  em Peruíbe.,4 hóspedes,Estúdio,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,4.94,68,237,593,Raridade
2,46690967,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,5,158,375,Novo preço mais baixo
3,41590205,2021-02-26,2021-02-28,Casa inteira em Jd Marcia II,"WI-FI Grátis - 3 Dorms, 3WC , QUARTEIRÃO DA PRAIA.",10 hóspedes,3 quartos,6 camas,3 banheiros e meio,Wi-Fi,Máquina de Lavar,Cozinha,Estacionamento gratuito,4.96,24,326,742,Raridade
4,46879880,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 5 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Vista para o mar,Ar-condicionado,Piscina,5.0,3,158,375,Novo preço mais baixo
5,45760542,2021-02-19,2021-02-21,Quarto inteiro em Parque Balneario Oasis,"Suíte 6 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
6,40947313,2021-02-19,2021-02-21,Casa inteira em Balneário Garça Vermelha,"Casa do Guaraú
Duas suítes a 500metros da praia",6 hóspedes,2 quartos,3 camas,3 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,16,330,810,Raridade
7,20194437,2021-02-26,2021-02-28,Casa inteira em Vila Romar,Cantinho de Deus,5 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,5.0,15,350,799,Novo preço mais baixo
8,36266946,2021-02-19,2021-02-21,Casa inteira em Parque Turistico,"Vida boa com sol, mar, piscina e amigos!!!",10 hóspedes,3 quartos,8 camas,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Máquina de Lavar,4.97,29,584,1.347,Novo preço mais baixo
9,16449714,2021-02-19,2021-02-21,Casa inteira em Peruíbe,Casa com piscina em Peruíbe a 2 quadras da praia!,10 hóspedes,3 quartos,7 camas,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Permitido animais,5.0,13,581,1.312,Novo preço mais baixo
10,47157768,2021-02-19,2021-02-21,Casa inteira em Centro,"Casa de praia • Centro, Peruíbe.",8 hóspedes,2 quartos,6 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.33,3,274,548,Novo preço mais baixo
11,43956103,2021-02-19,2021-02-21,Casa inteira em Parque Balneario Oasis,Super Promoção - 90 metros da Praia - com Wi-Fi,15 hóspedes,3 quartos,8 camas,4 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.67,6,592,1.484,Novo preço mais baixo
12,40949574,2021-02-19,2021-02-21,Casa inteira em Peruíbe,Lar Das Camélias,10 hóspedes,3 quartos,8 camas,2 banheiros,Wi-Fi,Vista para o mar,Ar-condicionado,Máquina de Lavar,4.67,4,372,924,Novo preço mais baixo
14,44683168,2021-02-26,2021-02-28,Casa inteira em Bal Tres Marias,"Casa charmosa e enorme à 67m da praia, negociamos",15 hóspedes,4 quartos,8 camas,3 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,6,769,1.687,Novo preço mais baixo
15,40949574,2021-02-26,2021-02-28,Casa inteira em Peruíbe,Lar Das Camélias,10 hóspedes,3 quartos,8 camas,2 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.67,4,336,852,Novo preço mais baixo
16,21527249,2021-02-19,2021-02-21,Casa inteira em Peruíbe,Casa em Balneário Arpoador - Peruíbe (100m do mar),12 hóspedes,2 quartos,9 camas,2 banheiros e meio,Wi-Fi,Máquina de Lavar,Cozinha,Permitido animais,4.56,9,410,970,Novo preço mais baixo
17,44683168,2021-02-26,2021-02-28,Casa inteira em Bal Tres Marias,"Casa charmosa e enorme à 67m da praia, negociamos",15 hóspedes,4 quartos,8 camas,3 banheiros,Wi-Fi,Self check-In,Vista para o mar,Cozinha,4.67,6,769,1.687,Novo preço mais baixo
18,40949574,2021-02-26,2021-02-28,Casa inteira em Peruíbe,Lar Das Camélias,10 hóspedes,3 quartos,8 camas,2 banheiros,Wi-Fi,Vista para o mar,Ar-condicionado,Máquina de Lavar,4.67,4,336,852,Novo preço mais baixo
19,32547945,2021-02-26,2021-02-28,Casa inteira em Estância Balneária Belmira Nova,CASA PRAIA PERUÍBE 340m PISCINA WIFI CHURRASQUEIRA,10 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,4.92,13,617,1.383,Novo preço mais baixo
20,45722207,2021-02-26,2021-02-28,Casa inteira em Parque Oasis,Casa aconchegante,8 hóspedes,3 quartos,6 camas,3 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,6,760,1.769,Novo preço mais baixo
21,46937984,2021-02-26,2021-02-28,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,3,749,1.647,Novo preço mais baixo
22,46082679,2021-02-19,2021-02-21,Casa inteira em Gaivota - Praia,"Casa aconchegante, área de lazer e churrasqueira.",15 hóspedes,3 quartos,12 camas,3 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,410,969,Novo preço mais baixo
23,46937984,2021-02-19,2021-02-21,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,3,1.022,2.192,Novo preço mais baixo
24,39549389,2021-02-26,2021-02-28,Casa inteira em Baougainville Residencial,CASA COND FECH 4 SUITES PISCINA E LASER - PERUÍBE,8 hóspedes,4 quartos,6 camas,5 banheiros e meio,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,5.0,6,989,2.248,Raridade
25,39549389,2021-02-26,2021-02-28,Casa inteira em Baougainville Residencial,CASA COND FECH 4 SUITES PISCINA E LASER - PERUÍBE,8 hóspedes,4 quartos,6 camas,5 banheiros e meio,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,5.0,6,989,2.248,Raridade
26,45206130,2021-02-19,2021-02-21,Casa inteira em Estância Bal Maria H Novaes,Casa de praia com piscina e área gourmet,16 hóspedes,4 quartos,8 camas,3 banheiros e meio,Ar-condicionado,Piscina,Cozinha,Estacionamento gratuito,5.0,3,870,1.940,Novo preço mais baixo
