,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,45163399,2021-02-26,2021-02-28,Loft inteiro em Ilha Porchat,Loft com vista incrível para o mar! Ar cond 8andar,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.80,40,135,215,Novo preço mais baixo
1,41131336,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/4 c/Piscina e Ar Cond -100m do mar,4 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.92,26,97,147,Novo preço mais baixo
2,17715456,2021-02-19,2021-02-21,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Cozinha,Permitido animais,Máquina de Lavar,Vista para o mar,4.90,41,242,342,Novo preço mais baixo
3,45318454,2021-02-19,2021-02-21,Apartamento inteiro em Canto do Forte,"Alugo apartamento canto do Forte, Praia Grande",4 hóspedes,1 quarto,3 camas,1 banheiro,Ar-condicionado,Cozinha,Estacionamento gratuito,Self check-In,4.73,11,197,257,Novo preço mais baixo
4,45620462,2021-02-19,2021-02-21,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
5,36976106,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Apartamento na orla da praia,6 hóspedes,2 quartos,3 camas,1 banheiro e meio,Wi-Fi,Máquina de Lavar,Self check-In,Elevador,4.97,32,265,365,Novo preço mais baixo
6,45620462,2021-02-26,2021-02-28,Apartamento inteiro em Vila Balneária,Apartamento Praia Grande,4 hóspedes,2 quartos,3 camas,2 banheiros,Vista para o mar,Vista para as águas,Permitido animais,Elevador,4.68,25,178,228,Novo preço mais baixo
7,17715456,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,Apartamento de frente para o mar!,6 hóspedes,2 quartos,3 camas,1 banheiro,Máquina de Lavar,Vista para o mar,Permitido animais,Cozinha,4.90,41,242,342,Novo preço mais baixo
8,45660011,2021-02-26,2021-02-28,Apartamento inteiro em Cidade Ocian,Apartamento Inteiro - próximo a Praia da Ocian.,8 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Ar-condicionado,Permitido animais,Cozinha,5.0,8,227,277,Novo preço mais baixo
9,40673627,2021-02-26,2021-02-28,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16 hóspedes,1 quarto,1 cama,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.86,21,285,285,Novo preço mais baixo
10,47306066,2021-02-19,2021-02-21,Condomínio inteiro em Jardim Marina,Apartamento em Mongaguá - Golden Village,6 hóspedes,1 quarto,1 cama,2 banheiros,Piscina,Cozinha,Estacionamento gratuito,Academia,5.0,4,304,434,Novo preço mais baixo
