,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,44642259,2021-03-05,2021-03-07,Apartamento inteiro em Guilhermina,"Apto c/vista pro Mar Praia Grande, 2 vagas garagem",6 hóspedes,2 quartos,7 camas,3 banheiros,Elevador,Vista para o mar,Wi-Fi,Ar-condicionado,4.96,25,248,616,Novo preço mais baixo
1,40884233,2021-03-05,2021-03-07,Apartamento inteiro em Vila Tupi,Apartamento aconchegante frente ao mar.,4 hóspedes,1 quarto,2 camas,1 banheiro,Vista para o mar,Wi-Fi,Cozinha,Estacionamento gratuito,4.93,43,160,320,Raridade
2,30497949,2021-03-05,2021-03-07,Apartamento inteiro em Aviação,Aviação apartamento com vista e excelente ambiente,6 hóspedes,2 quartos,2 camas,1 banheiro,Elevador,Wi-Fi,Máquina de Lavar,Permitido animais,4.89,62,136,422,Raridade
3,39855974,2021-03-05,2021-03-07,Apartamento inteiro em Guilhermina,Apartamento em frente a praia,4 hóspedes,1 quarto,3 camas,1 banheiro,Elevador,Vista para o mar,Self check-In,Cozinha,4.85,27,131,342,Novo preço mais baixo
4,22469373,2021-03-05,2021-03-07,Apartamento inteiro em Vila Assuncao,Apto - Temporada - Praia Grande,6 hóspedes,1 quarto,6 camas,1 banheiro,Elevador,Vista para o mar,Wi-Fi,Self check-In,4.63,38,103,205,Novo preço mais baixo
5,32122547,2021-03-12,2021-03-14,Apartamento inteiro em Aparecida,Kitnet frente a praia VISTA LINDA PARA O MAR,4 hóspedes,Estúdio,3 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Cozinha,Ar-condicionado,4.72,137,123,246,Raridade
6,22469373,2021-03-12,2021-03-14,Apartamento inteiro em Vila Assuncao,Apto - Temporada - Praia Grande,6 hóspedes,1 quarto,6 camas,1 banheiro,Elevador,Vista para o mar,Wi-Fi,Self check-In,4.63,38,103,205,Novo preço mais baixo
7,46287455,2021-03-12,2021-03-14,Apartamento inteiro em José Menino,"Studio 207, Vista para o Mar com WI-FI",4 hóspedes,1 quarto,2 camas,1 banheiro,Vista para o mar,Wi-Fi,Self check-In,Ar-condicionado,4.57,7,187,508,Raridade
8,39704194,2021-03-19,2021-03-21,Apartamento inteiro em São Vicente,"Ilha Porchat, Vista Panorâmica, estacionamento",2 hóspedes,1 quarto,1 cama,1 banheiro,Estacionamento gratuito,Wi-Fi,Cozinha,Ar-condicionado,4.86,42,145,399,Raridade
9,39704194,2021-03-19,2021-03-21,Apartamento inteiro em São Vicente,"Ilha Porchat, Vista Panorâmica, estacionamento",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.86,42,145,399,Raridade
10,44860968,2021-03-19,2021-03-21,Apartamento inteiro em Centro,"Praia do Gonzaguinha, quintal de casa - SV",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,12,108,285,Novo preço mais baixo
11,44642259,2021-03-19,2021-03-21,Apartamento inteiro em Guilhermina,"Apto c/vista pro Mar Praia Grande, 2 vagas garagem",6 hóspedes,2 quartos,7 camas,3 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.96,25,254,628,Raridade
12,39704194,2021-03-26,2021-03-28,Apartamento inteiro em São Vicente,"Ilha Porchat, Vista Panorâmica, estacionamento",2 hóspedes,1 quarto,1 cama,1 banheiro,Elevador,Vista para o mar,Wi-Fi,Ar-condicionado,4.86,42,139,388,Raridade
13,41269141,2021-03-26,2021-03-28,Apartamento inteiro em Itararé,APTO STUDIO Santos-São Vicente Vista ao mar,4 hóspedes,1 quarto,1 cama,1 banheiro,Vista para o mar,Wi-Fi,Permitido animais,Cozinha,4.88,44,112,284,Raridade
14,44642259,2021-03-26,2021-03-28,Apartamento inteiro em Guilhermina,"Apto c/vista pro Mar Praia Grande, 2 vagas garagem",6 hóspedes,2 quartos,7 camas,3 banheiros,Elevador,Vista para o mar,Wi-Fi,Ar-condicionado,4.96,25,248,616,Novo preço mais baixo
