,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,45020057,2021-02-26,2021-02-28,Apartamento inteiro em José Menino,Book Santos - Unlimited 911 - Estúdio Elegância,4 hóspedes,1 quarto,1 cama,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.92,24,344,818,Raridade
1,45740885,2021-02-26,2021-02-28,Apartamento inteiro em Ilha Porchat,"Ilha Porchat, com vista deslumbrante para o mar.",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Estacionamento gratuito,Vista para o mar,Cozinha,5.0,12,293,685,Novo preço mais baixo
2,16205062,2021-02-26,2021-02-28,Apartamento inteiro em Santos,APARTAMENTO PERFEITO PARA LAZER EM SANTOS,4 hóspedes,1 quarto,3 camas,1 banheiro,Elevador,Estacionamento gratuito,Vista para o mar,Cozinha,4.69,32,171,342,Novo preço mais baixo
3,44167993,2021-02-26,2021-02-28,Apartamento inteiro em Boa Vista,Aconchegante apartamento à beira mar!!,4 hóspedes,1 quarto,2 camas,1 banheiro,Elevador,Estacionamento gratuito,Permitido animais,Máquina de Lavar,4.70,20,118,285,Novo preço mais baixo
4,45481749,2021-02-19,2021-02-21,Apartamento inteiro em José Menino,Studio moderno em condomínio de luxo pé na areia,4 hóspedes,Estúdio,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.90,10,386,896,Novo preço mais baixo
5,46642800,2021-02-19,2021-02-21,Apartamento inteiro em José Menino,Book Santos - Unlimited 3211 - No alto do Arranha Céus,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.86,7,359,847,Novo preço mais baixo
6,20713038,2021-02-19,2021-02-21,Apartamento inteiro em Itararé,Total privacidade próximo da praia.,2 hóspedes,1 quarto,1 cama,1 banheiro,Cozinha,Estacionamento gratuito,Permitido animais,Elevador,4.28,65,145,320,Novo preço mais baixo
7,31276478,2021-02-26,2021-02-28,Apartamento inteiro em Centro,Apartamento de luxo - 50 m da praia - wifi 35 mega,4 hóspedes,Estúdio,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.89,36,204,468,Novo preço mais baixo
8,45258176,2021-02-26,2021-02-28,Apartamento inteiro em Boqueirão,Vista pro Mar Apto Lindo,5 hóspedes,1 quarto,6 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,5.0,4,181,491,Novo preço mais baixo
9,39499342,2021-02-26,2021-02-28,Apartamento inteiro em Praia Grande,"Apartamento 1 dormitório no Boqueirão com Piscina, 50 metros da Praia",4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,17,184,488,Novo preço mais baixo
10,37602479,2021-02-26,2021-02-28,Apartamento inteiro em Embaré,"Santos - Pé na areia, ótima localização, iluminado",4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.94,36,158,456,Novo preço mais baixo
11,16342444,2021-02-12,2021-02-14,Apartamento inteiro em Praia Grande,Apartamento em frente à Praia.,4 hóspedes,1 quarto,3 camas,1 banheiro,Piscina,Cozinha,Estacionamento gratuito,Elevador,4.54,38,175,399,Novo preço mais baixo
