,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
0,35494649,2021-01-29,2021-01-31,Condomínio inteiro em Gonzaga,Flat-Comodidades de Hotel e Café da Manhã Opcional,3 hóspedes,2 quartos,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.73,37,271,582,Raridade
1,40532701,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,"Apartamento pé na areia, no melhor ponto de Santos",4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.90,21,273,696,Raridade
2,35494649,2021-01-29,2021-01-31,Condomínio inteiro em Gonzaga,Flat-Comodidades de Hotel e Café da Manhã Opcional,3 hóspedes,2 quartos,2 camas,1 banheiro,Wi-Fi,Self check-In,Secadora,Máquina de Lavar,4.73,37,271,582,Raridade
3,16205062,2021-01-29,2021-01-31,Apartamento inteiro em Santos,APARTAMENTO PERFEITO PARA LAZER EM SANTOS,4 hóspedes,1 quarto,3 camas,1 banheiro,Estacionamento gratuito,Vista para o mar,Cozinha,Elevador,4.69,32,171,342,Novo preço mais baixo
4,47137946,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,BOOK SANTOS - Unlimited 1403 - Duplex vista Mar,5 hóspedes,2 quartos,4 camas,2 banheiros,Wi-Fi,Vista para as águas,Jacuzzi,Ar-condicionado,5.0,5,475,1.079,Raridade
5,36268227,2021-01-29,2021-01-31,Apartamento inteiro em Guarujá,Loft super aconchegante,4 hóspedes,1 quarto,6 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Vista para o mar,Cozinha,5.0,13,181,491,Novo preço mais baixo
6,44376685,2021-01-29,2021-01-31,Condomínio inteiro em José Menino,Book Santos – Unlimited 1808 c/ Sacada Panorâmica,5 hóspedes,2 quartos,4 camas,2 banheiros e meio,Wi-Fi,Self check-In,Jacuzzi,Máquina de Lavar,5.0,13,559,1.268,Novo preço mais baixo
7,31436143,2021-01-29,2021-01-31,Apartamento inteiro em Santos,BOOK SANTOS - Unlimited 1710 - Beira Mar c/ vista,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Secadora,Vista para as águas,4.88,34,383,896,Raridade
8,40060303,2021-01-29,2021-01-31,Apartamento inteiro em Aparecida,Santos Apto frente ao Mar Próx. Shop Praiamar SESC,8 hóspedes,3 quartos,5 camas,2 banheiros,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.95,20,300,800,Novo preço mais baixo
9,41136046,2021-01-29,2021-01-31,Apartamento inteiro em Santos,"Aconchegante, calmo e pé na areia ;)",4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.96,23,228,605,Novo preço mais baixo
11,45325389,2021-01-29,2021-01-31,Apartamento inteiro em Centro,Apartamento Duplex com piscina privativa,9 hóspedes,3 quartos,3 camas,3 banheiros,Wi-Fi,Máquina de Lavar,Piscina,Permitido animais,4.80,25,524,1.187,Raridade
12,44250883,2021-01-29,2021-01-31,Apartamento inteiro em Boqueirão,Unitá Flat73 - Conforto e praia aos seus pés......,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Máquina de Lavar,Ar-condicionado,Piscina,5.0,3,328,776,Novo preço mais baixo
13,22896213,2021-01-29,2021-01-31,Suíte de visitas inteira em Vila Julia,Praia da Enseada - Suite 2,4 hóspedes,1 quarto,0 camas,1 banheiro,Wi-Fi,Self check-In,Secadora,Ar-condicionado,4.91,87,331,662,Novo preço mais baixo
14,46833625,2021-01-29,2021-01-31,Apartamento inteiro em Aviação,Apartamento Novo na Praia Grande,5 hóspedes,2 quartos,3 camas,2 banheiros,Ar-condicionado,Estacionamento gratuito,Vista para o mar,Cozinha,5.0,3,236,571,Novo preço mais baixo
15,21124410,2021-01-29,2021-01-31,Apartamento inteiro em Jardim Centenario,AP a 50 metros da Praia - Enseada Guarujá,6 hóspedes,2 quartos,3 camas,1 banheiro e meio,Wi-Fi,Self check-In,Ar-condicionado,Estacionamento gratuito,4.77,39,214,548,Novo preço mais baixo
16,23175564,2021-01-29,2021-01-31,Condomínio inteiro em Aparecida,"Venha viver a Natureza, prédio frente  praia",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Secadora,Máquina de Lavar,4.78,83,171,422,Novo preço mais baixo
17,35787079,2021-01-29,2021-01-31,Apartamento inteiro em Aparecida,Melhor Apartamento de Santos (De Frente p/ Praia!),4 hóspedes,2 quartos,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.96,25,352,833,Novo preço mais baixo
18,42238166,2021-01-29,2021-01-31,Apartamento inteiro em Guilhermina,"Apartamento Vila Guilhermina, Praia Grande",6 hóspedes,2 quartos,2 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,9,295,719,Novo preço mais baixo
19,16062761,2021-01-29,2021-01-31,Apartamento inteiro em Guarujá,"3 Dormitórios (1 suíte), Varanda Gourmet - Apto 44",8 hóspedes,3 quartos,7 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.90,89,479,1.156,Novo preço mais baixo
20,35083002,2021-01-29,2021-01-31,Apartamento inteiro em Pitangueira,"Apartamento bem localizado, no Guarujá !!!!",4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Cozinha,Elevador,Máquina de Lavar,4.70,53,232,534,Novo preço mais baixo
21,46941320,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,Apto com vista encantadora Unlimited em Santos/SP,6 hóspedes,1 quarto,3 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,5.0,3,524,1.198,Novo preço mais baixo
22,35787079,2021-01-29,2021-01-31,Apartamento inteiro em Aparecida,Melhor Apartamento de Santos (De Frente p/ Praia!),4 hóspedes,2 quartos,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.96,25,352,833,Novo preço mais baixo
23,44433886,2021-01-29,2021-01-31,Apartamento inteiro em Balneario Cidade Atlantica,Berte's Home (pertinho da praia),2 hóspedes,1 quarto,1 cama,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.92,26,323,696,Novo preço mais baixo
24,20283404,2021-01-29,2021-01-31,Apartamento inteiro em Santos,BOOK SANTOS - Unlimited 1111 - Um Resort em Santos,4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.74,35,374,878,Raridade
25,20960671,2021-01-29,2021-01-31,Apartamento inteiro em Guarujá,Apto Frente Mar - Pitangueiras.,7 hóspedes,2 quartos,6 camas,3 banheiros,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.74,24,975,2.050,Novo preço mais baixo
26,21527286,2021-01-29,2021-01-31,Apartamento inteiro em Santos,FRENTE AO MAR Vintage Decor Melhor da ORLA,6 hóspedes,2 quartos,5 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.84,49,452,1.084,Novo preço mais baixo
27,22809968,2021-01-29,2021-01-31,Apartamento inteiro em Santos,Apto novo 2 quadras da praia.,4 hóspedes,1 quarto,3 camas,2 banheiros,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.97,33,390,959,Raridade
28,25858398,2021-01-29,2021-01-31,Quarto inteiro em Jardim Las Palmas,Quarto com vista para o canto mágico do Tombo,3 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Cozinha,Estacionamento gratuito,Elevador,4.93,41,160,320,Novo preço mais baixo
29,29647093,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,"Apartamento em Santos/Gonzaga, Vista pro mar! wifi",5 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.70,37,257,514,Novo preço mais baixo
30,46033720,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,"Studio 607, frente ao mar, completo  todo decorado",4 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Ar-condicionado,Estacionamento gratuito,5.0,4,237,608,Raridade
31,42517975,2021-01-29,2021-01-31,Condomínio inteiro em São Vicente,Ótima localização frente ao mar Praia Itararé,2 hóspedes,1 quarto,2 camas,1 banheiro,Self check-In,Vista para as águas,Ar-condicionado,Permitido animais,4.36,11,131,331,Novo preço mais baixo
32,42170485,2021-01-29,2021-01-31,Apartamento inteiro em José Menino,"Kit a beira mar, acomodação para 3 pessoas, Santos",3 hóspedes,Estúdio,3 camas,1 banheiro,Permitido animais,Vista para o mar,Cozinha,Elevador,4.73,11,120,320,Novo preço mais baixo
33,46192069,2021-01-29,2021-01-31,Condomínio inteiro em Itararé,Vista para o Mar 6 pessoas Santos Sao Vicente,6 hóspedes,1 quarto,5 camas,2 banheiros,Máquina de Lavar,Permitido animais,Estacionamento gratuito,Cozinha,4.75,4,136,422,Novo preço mais baixo
34,40200361,2021-01-29,2021-01-31,Apartamento inteiro em Gonzaga,Apartamento de Frente a Praia!,4 hóspedes,1 quarto,2 camas,1 banheiro,Academia,Estacionamento gratuito,Cozinha,Elevador,4.92,36,120,240,Novo preço mais baixo
35,45884578,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,"Lindo Kit Novíssimo, Pé na Areia no Itararé.",2 hóspedes,Estúdio,4 camas,1 banheiro,Wi-Fi,Vista para as águas,Vista para o mar,Cozinha,5.0,9,150,379,Novo preço mais baixo
36,44860968,2021-01-29,2021-01-31,Apartamento inteiro em Centro,"Praia do Gonzaguinha, quintal de casa - SV",2 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Self check-In,Permitido animais,Estacionamento gratuito,5.0,8,119,308,Novo preço mais baixo
37,46488250,2021-01-29,2021-01-31,Apartamento inteiro em Centro,🌴 PÉ NA AREIA | Praia do Gonzaguinha,4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Vista para as águas,Máquina de Lavar,Permitido animais,4.46,13,182,462,Raridade
38,45954237,2021-01-29,2021-01-31,Apartamento inteiro em Itararé,Kit pé na areia com vista mar Praia  Milionários,2 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Permitido animais,Estacionamento gratuito,Cozinha,5.0,5,121,342,Novo preço mais baixo
