data;evento;status
2021-01-01;Ano Novo;feriado nacional
2021-02-15;Carnaval;ponto facultativo
2021-02-16;Carnaval;ponto facultativo
2021-02-17;Quarta-feira de Cinzas;ponto facultativo
2021-04-02;Sexta-Feira Santa;feriado nacional
2021-04-21;Tiradentes;feriado nacional
2021-05-01;Dia Mundial do Trabalho;feriado nacional
2021-06-03;Corpus Christi;feriado nacional
2021-09-07;Independência do Brasil;feriado nacional
2021-10-12;Nossa Senhora Aparecida;feriado nacional
2021-11-02;Finados;feriado nacional
2021-11-15;Proclamação da República;feriado nacional
2021-12-24;Véspera de Natal;ponto facultativo
2021-12-25;Natal;feriado nacional
2021-12-31;Véspera de Ano Novo;ponto facultativo
